show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,month_name_added,age_of_show,duration_value,movie_duration_min,tv_seasons
s6421,tv_show,care_bears:_welcome_to_care-a-lot,,"david_lodge,_patty_mattson,_doug_erholtz,_stephanie_sheh,_nayo_wallace,_michael_sinterniklaas,_michaela_dean",united_states,2019-08-02,2012,tv-y,1_season,kids'_tv,"nestled_in_a_faraway_cloud_is_a_rainbow-colored_world_called_care-a-lot,_home_to_the_magical_care_bears_who_each_have_a_special_talent.",2019.0,8.0,august,7.0,1.0,,1.0
s6422,movie,caregiver,chito_s._roño,"sharon_cuneta,_john_estrada,_john_manalo,_rica_peralejo,_jhong_hilario,_saul_reichlin,_matthew_rutherford,_claire_jeater,_makisig_morales,_mickey_ferriols",philippines,2019-03-05,2008,tv-14,131_min,"dramas,_international_movies","sarah_leaves_her_son_in_the_philippines_to_reunite_with_her_husband_in_london,_where_she_struggles_personally_and_professionally_as_a_care-home_worker.",2019.0,3.0,march,11.0,131.0,131.0,
s6423,movie,carol,todd_haynes,"cate_blanchett,_rooney_mara,_sarah_paulson,_kyle_chandler,_jake_lacy,_john_magaro,_cory_michael_smith,_carrie_brownstein,_kevin_crowley,_nik_pajic","united_kingdom,_united_states,_australia",2020-10-20,2015,r,119_min,"dramas,_lgbtq_movies,_romantic_movies","in_the_1950s,_a_glamorous_married_woman_and_an_aspiring_photographer_embark_on_a_passionate,_forbidden_romance_that_will_forever_change_their_lives.",2020.0,10.0,october,5.0,119.0,119.0,
s6424,movie,carrie,brian_de_palma,"sissy_spacek,_piper_laurie,_amy_irving,_william_katt,_john_travolta,_nancy_allen,_betty_buckley,_p.j._soles,_priscilla_pointer,_sydney_lassick,_stefan_gierasch,_michael_talbott,_doug_cox,_harry_gold,_noelle_north",united_states,2019-06-01,1976,r,98_min,"classic_movies,_cult_movies,_horror_movies","an_outcast_teen_with_telekinetic_ability_lashes_out_with_her_deadly_power_when_the_high_school_""in_crowd""_torments_her_with_a_sick_joke_at_the_prom.",2019.0,6.0,june,43.0,98.0,98.0,
s6425,movie,carriers,"àlex_pastor,_david_pastor","lou_taylor_pucci,_chris_pine,_piper_perabo,_emily_vancamp,_christopher_meloni,_kiernan_shipka,_ron_mcclary,_mark_moses",united_states,2019-11-20,2009,pg-13,85_min,"horror_movies,_sci-fi_&_fantasy,_thrillers","as_a_lethal_virus_spreads_globally,_four_friends_seek_a_reputed_plague-free_haven._but_while_avoiding_the_infected,_the_travelers_turn_on_one_another.",2019.0,11.0,november,10.0,85.0,85.0,
s6426,movie,casa_de_mi_padre,matt_piedmont,"will_ferrell,_gael_garcía_bernal,_diego_luna,_genesis_rodriguez,_pedro_armendáriz_jr.,_nick_offerman,_efren_ramirez,_adrian_martinez","united_states,_mexico",2012-11-14,2012,r,84_min,comedies,will_ferrell_stars_as_a_spanish-speaking_cowboy_in_this_comedy_about_a_mexican_clan_trying_to_rescue_their_ranch_from_greedy_creditors.,2012.0,11.0,november,0.0,84.0,84.0,
s6427,tv_show,case_closed,,"minami_takayama,_alison_retzloff,_wakana_yamazaki,_colleen_clinkenbeard,_akira_kamiya,_r._bruce_elliott,_wataru_takagi,_chafurin,_mark_stoddard",japan,2019-01-04,2015,tv-14,1_season,"anime_series,_crime_tv_shows,_tv_thrillers","turned_into_a_young_boy_by_a_sinister_potion,_teen_sleuth_conan_helps_solve_baffling_crimes_while_tracking_down_the_nefarious_agents_who_poisoned_him.",2019.0,1.0,january,4.0,1.0,,1.0
s6428,movie,casino_royale,martin_campbell,"daniel_craig,_judi_dench,_eva_green,_jeffrey_wright,_mads_mikkelsen,_giancarlo_giannini","united_kingdom,_czech_republic,_united_states,_germany,_bahamas",2020-08-31,2006,pg-13,145_min,action_&_adventure,"daniel_craig_makes_his_debut_as_the_newly_minted_agent_007,_who's_pitted_against_an_infamous_financier_of_global_terrorism_–_at_the_poker_table.",2020.0,8.0,august,14.0,145.0,145.0,
s6429,movie,casino_tycoon,wong_jing,wong_jing,hong_kong,2018-08-01,1992,tv-ma,125_min,"action_&_adventure,_dramas,_international_movies","when_japanese_troops_invade_hong_kong,_young_benny_ho_flees_to_macau_and_rises_to_the_top_of_the_city's_casino_business_with_pluck,_diligence_and_wit.",2018.0,8.0,august,26.0,125.0,125.0,
s6430,movie,casino_tycoon_2,wong_jing,dennis_chan,hong_kong,2018-08-16,1992,tv-ma,108_min,"action_&_adventure,_dramas,_international_movies",casino_mogul_benny_ho_wields_enormous_power._but_a_feud_with_his_former_partner_and_a_massive_fraud_scheme_soon_threaten_his_family_and_his_empire.,2018.0,8.0,august,26.0,108.0,108.0,
